Date,Portfolio Value
2019-01-02,100001.0
2019-02-14,109740.69458865299
2019-03-29,115634.35354208022
2019-05-13,114190.22743883051
2019-06-25,120451.92662364025
2019-08-07,117834.05686832718
2019-09-19,122784.81549743997
2019-10-31,124833.63796386417
2019-12-13,133729.9186498493
2020-01-29,138992.07255614383
2020-03-12,104260.81755813063
2020-04-24,116407.44148875056
2020-06-08,140075.98219373616
2020-07-21,140277.38057289316
2020-09-01,156715.31220485998
2020-10-14,153879.5646002027
2020-11-25,164486.15952877104
2021-01-11,167484.6576631183
2021-02-24,173388.32381721833
2021-04-08,179847.33447080813
2021-05-20,183861.5300815014
2021-07-02,195917.06581269912
2021-08-16,198512.55987940377
2021-09-28,194717.16749362196
2021-11-09,214312.40504029507
2021-12-22,208610.07887739694
2022-02-04,206223.013950593
2022-03-21,202404.11901217056
2022-05-03,189376.73705614186
2022-06-15,170081.26663537926
2022-07-29,185082.67946776852
2022-09-12,182998.98974103507
2022-10-24,166888.89939925162
2022-12-06,182740.26121099337
2023-01-20,187271.57234899292
2023-03-06,190164.56146707086
2023-04-17,197412.24670960975
2023-05-30,195554.08624469407
2023-07-13,211965.55057358148
2023-08-24,209287.1187992388
2023-10-06,205408.9420267406
2023-11-17,215594.7242956899
2019-01-03,97072.00663763637
2019-01-04,100631.51552939096
2019-01-07,101773.47524844484
2019-01-08,103079.06772317196
2019-01-09,103179.49560276112
2019-01-10,103687.0450363305
2019-01-11,103745.13880749398
2019-01-14,103093.6039871757
2019-01-15,103916.87028921206
2019-01-16,103887.16449839555
2019-01-17,104290.31083960415
2019-01-18,105520.62591695084
2019-01-22,104202.89148761045
2019-01-23,105037.506026229
2019-01-24,104897.12631254195
2019-01-25,105691.7748296278
2019-01-28,104652.86426395347
2019-01-29,104016.7250112527
2019-01-30,106673.43597733449
2019-01-31,107350.88848352438
2019-02-01,107530.7348726094
2019-02-04,108614.18357832104
2019-02-05,109421.2291481911
2019-02-06,109223.29260958493
2019-02-07,108050.32189227105
2019-02-08,108235.7274109486
2019-02-11,108509.56611584676
2019-02-12,109841.71536815203
2019-02-13,109957.79074046899
2019-02-15,110918.10876721599
2019-02-19,110941.1620957822
2019-02-20,111570.05549146858
2019-02-21,111494.9578039213
2019-02-22,112283.81199318581
2019-02-25,112641.54907676385
2019-02-26,112607.57273228369
2019-02-27,113216.59709108833
2019-02-28,113319.99362395484
2019-03-01,113966.84122171166
2019-03-04,113180.76156558625
2019-03-05,112908.32830279916
2019-03-06,112410.67348476229
2019-03-07,111494.85391275537
2019-03-08,111201.7154885908
2019-03-11,112704.55184682005
2019-03-12,112461.94356671964
2019-03-13,113257.17381422767
2019-03-14,113465.68286313656
2019-03-15,114248.63173422398
2019-03-18,114513.76491671836
2019-03-19,114459.6378816847
2019-03-20,114540.33118672024
2019-03-21,115882.29162349323
2019-03-22,114108.80571856169
2019-03-25,114282.04862116405
2019-03-26,114856.21791620467
2019-03-27,114525.05568656835
2019-03-28,114631.01924240871
2019-04-01,117181.67963485017
2019-04-02,117144.23170601008
2019-04-03,117146.39308427207
2019-04-04,117174.65339599004
2019-04-05,117420.37456316248
2019-04-08,117362.25304482009
2019-04-09,116436.7667709429
2019-04-10,116916.46294653842
2019-04-11,117033.11079571964
2019-04-12,117913.56630315234
2019-04-15,117876.6456134532
2019-04-16,118470.07611570571
2019-04-17,118157.53990980997
2019-04-18,118969.18162028582
2019-04-22,118986.71499942012
2019-04-23,119635.08290479585
2019-04-24,119115.31958069539
2019-04-25,119025.94232999392
2019-04-26,120312.51780545362
2019-04-29,120220.42559862067
2019-04-30,120387.47867044389
2019-05-01,119800.36534500017
2019-05-02,119339.89895745042
2019-05-03,120720.19743275341
2019-05-06,119905.17299762632
2019-05-07,117706.24925713708
2019-05-08,117596.50352510248
